grm_mode,latent_variable,correlation,abs_correlation
grm_mode_1,vitality_depletion,-0.679314865623963,0.679314865623963
grm_mode_1,stress_activation,-0.6792084114417067,0.6792084114417067
grm_mode_1,inflammatory_load,-0.6815567245323063,0.6815567245323063
grm_mode_1,digestive_instability,-0.6780977264182332,0.6780977264182332
grm_mode_2,vitality_depletion,0.3294638399051445,0.3294638399051445
grm_mode_2,stress_activation,0.3320826828974347,0.3320826828974347
grm_mode_2,inflammatory_load,0.32819590678416394,0.32819590678416394
grm_mode_2,digestive_instability,0.3303852260070864,0.3303852260070864
grm_mode_3,vitality_depletion,0.28529911307583977,0.28529911307583977
grm_mode_3,stress_activation,0.2839963915235179,0.2839963915235179
grm_mode_3,inflammatory_load,0.28265394263255195,0.28265394263255195
grm_mode_3,digestive_instability,0.2848689119043099,0.2848689119043099
grm_mode_4,vitality_depletion,0.02551029595524536,0.02551029595524536
grm_mode_4,stress_activation,0.02407093880067235,0.02407093880067235
grm_mode_4,inflammatory_load,0.023782058735334427,0.023782058735334427
grm_mode_4,digestive_instability,0.02337819334075061,0.02337819334075061
grm_mode_5,vitality_depletion,-0.14988459237378535,0.14988459237378535
grm_mode_5,stress_activation,-0.14851129350301742,0.14851129350301742
grm_mode_5,inflammatory_load,-0.1510084706849912,0.1510084706849912
grm_mode_5,digestive_instability,-0.1505115410416908,0.1505115410416908
grm_mode_6,vitality_depletion,0.05660229880368164,0.05660229880368164
grm_mode_6,stress_activation,0.058252165076108385,0.058252165076108385
grm_mode_6,inflammatory_load,0.05841727412928915,0.05841727412928915
grm_mode_6,digestive_instability,0.056765940753426114,0.056765940753426114
grm_mode_7,vitality_depletion,0.03093527513344638,0.03093527513344638
grm_mode_7,stress_activation,0.03184388958762132,0.03184388958762132
grm_mode_7,inflammatory_load,0.030744893034463636,0.030744893034463636
grm_mode_7,digestive_instability,0.030668212646392704,0.030668212646392704
grm_mode_8,vitality_depletion,0.010780773276667715,0.010780773276667715
grm_mode_8,stress_activation,0.011451967871065376,0.011451967871065376
grm_mode_8,inflammatory_load,0.011598518912770132,0.011598518912770132
grm_mode_8,digestive_instability,0.009895810323006092,0.009895810323006092
