grm_mode,latent_variable,correlation,abs_correlation
grm_mode_1,digestive_instability,-0.4250515108113952,0.4250515108113952
grm_mode_2,digestive_instability,-0.34551717539415805,0.34551717539415805
grm_mode_5,digestive_instability,0.21939480812545437,0.21939480812545437
grm_mode_1,inflammatory_load,-0.5358639767239033,0.5358639767239033
grm_mode_5,inflammatory_load,0.26271449153868504,0.26271449153868504
grm_mode_4,inflammatory_load,0.2079960226661268,0.2079960226661268
grm_mode_1,stress_activation,-0.5113121596579647,0.5113121596579647
grm_mode_2,stress_activation,0.3386105839240362,0.3386105839240362
grm_mode_5,stress_activation,0.23568361090734424,0.23568361090734424
grm_mode_1,vitality_depletion,-0.5158423181054719,0.5158423181054719
grm_mode_5,vitality_depletion,0.2574817467197091,0.2574817467197091
grm_mode_2,vitality_depletion,-0.10836262804298173,0.10836262804298173
