grm_mode,latent_variable,correlation,abs_correlation
grm_mode_1,inflammatory_load,-0.5358639767239033,0.5358639767239033
grm_mode_1,vitality_depletion,-0.5158423181054718,0.5158423181054718
grm_mode_1,stress_activation,-0.5113121596579652,0.5113121596579652
grm_mode_2,digestive_instability,-0.34551717539415866,0.34551717539415866
grm_mode_2,stress_activation,0.3386105839240353,0.3386105839240353
grm_mode_2,vitality_depletion,-0.10836262804298251,0.10836262804298251
grm_mode_3,inflammatory_load,0.06106114368455284,0.06106114368455284
grm_mode_3,stress_activation,0.0522712793658023,0.0522712793658023
grm_mode_3,digestive_instability,0.04483719886467139,0.04483719886467139
grm_mode_4,inflammatory_load,0.2079960226661273,0.2079960226661273
grm_mode_4,stress_activation,-0.13042367654846712,0.13042367654846712
grm_mode_4,digestive_instability,0.07852998141166648,0.07852998141166648
grm_mode_5,inflammatory_load,0.262714491538687,0.262714491538687
grm_mode_5,vitality_depletion,0.25748174671970925,0.25748174671970925
grm_mode_5,stress_activation,0.23568361090734544,0.23568361090734544
grm_mode_6,digestive_instability,0.07946119348194289,0.07946119348194289
grm_mode_6,stress_activation,0.04249114447760901,0.04249114447760901
grm_mode_6,inflammatory_load,0.034012798390063034,0.034012798390063034
grm_mode_7,vitality_depletion,-0.09954563644440655,0.09954563644440655
grm_mode_7,stress_activation,-0.0682716537466063,0.0682716537466063
grm_mode_7,digestive_instability,-0.03778712310349322,0.03778712310349322
grm_mode_8,digestive_instability,-0.07961555888369906,0.07961555888369906
grm_mode_8,inflammatory_load,-0.042673520659320674,0.042673520659320674
grm_mode_8,stress_activation,0.01055355376507104,0.01055355376507104
